159652	Abditibacterium utsteinense	Bacteria	Abditibacteriota	Abditibacteria	Abditibacteriales	Abditibacteriaceae	Abditibacterium	Free Living	False	NULL	0.5427	#Climate, #Environmental	#Cold, #Terrestrial	Top surface sample consisting of weathered granite parent material, elevation 1382 m	https://bacdive.dsmz.de/strain/159652
148519	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	anaerobe	NULL	#Host, #Host Body Product, #Infection, #Infection	#Human, #Fluids, #Inflammation, #Patient	Human blood,endocarditis	https://bacdive.dsmz.de/strain/148519
149144	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	microaerophile	NULL	#Host, #Host Body Product, #Infection, #Infection	#Human, #Fluids, #Inflammation, #Patient	Human blood,endocarditis,70-yr-old man	https://bacdive.dsmz.de/strain/149144
149662	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	NULL	NULL	#Host	#Human	Human	https://bacdive.dsmz.de/strain/149662
149983	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	NULL	NULL	#Host, #Host Body Product, #Infection, #Infection	#Human, #Fluids, #Inflammation, #Patient	Human blood,suspected endocarditis,found x4	https://bacdive.dsmz.de/strain/149983
150007	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	NULL	NULL	#Host, #Host Body Product, #Host Body-Site, #Infection	#Human, #Fluids, #Organ, #Patient	Human pericardial fluid	https://bacdive.dsmz.de/strain/150007
150039	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	NULL	NULL	#Host, #Host Body-Site, #Infection	#Human, #Organ, #Patient	Human blood culture,heart valve totally destroyed	https://bacdive.dsmz.de/strain/150039
150104	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	NULL	NULL	#Host, #Host Body Product, #Infection, #Infection	#Human, #Fluids, #Inflammation, #Patient	Human blood,sepsis,chills,fever 39.5°C	https://bacdive.dsmz.de/strain/150104
150280	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	anaerobe	NULL	#Host, #Host Body Product, #Host Body Product, #Infection	#Human, #Fluids, #Fluids, #Patient	Human blood and cerebrospinal fluid,endocarditis	https://bacdive.dsmz.de/strain/150280
150286	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	NULL	NULL	#Host, #Infection	#Human, #Patient	Human tissue,hip	https://bacdive.dsmz.de/strain/150286
150539	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	NULL	NULL	#Host, #Host Body-Site, #Infection	#Human, #Organ, #Patient	Human vitreous body,80-yr-old patient	https://bacdive.dsmz.de/strain/150539
152179	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	NULL	NULL	#Host, #Host Body Product, #Infection, #Infection	#Human, #Fluids, #Inflammation, #Patient	Human blood,suspected endocarditis	https://bacdive.dsmz.de/strain/152179
152186	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	microaerophile	NULL	#Host, #Host Body Product	#Human, #Fluids	Human blood	https://bacdive.dsmz.de/strain/152186
152516	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	microaerophile	NULL	#Host, #Host Body Product, #Infection	#Human, #Fluids, #Patient	Human blood,68-yr-old woman	https://bacdive.dsmz.de/strain/152516
152552	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	microaerophile	NULL	#Host, #Host Body-Site, #Infection, #Infection	#Human, #Organ, #Disease, #Patient	Human vitreous body,77-yr-old female,keratitis	https://bacdive.dsmz.de/strain/152552
152579	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	microaerophile	NULL	#Host, #Host Body-Site	#Human, #Other	Human wound	https://bacdive.dsmz.de/strain/152579
153374	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	microaerophile	NULL	#Host, #Host Body Product, #Infection, #Infection	#Human, #Fluids, #Inflammation, #Patient	Human blood,66-yr-old man,endocarditis	https://bacdive.dsmz.de/strain/153374
154020	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	microaerophile	NULL	#Host, #Host Body Product	#Human, #Fluids	Human blood	https://bacdive.dsmz.de/strain/154020
154929	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	microaerophile	NULL	#Host, #Host Body Product, #Infection	#Human, #Fluids, #Patient	Human blood,67-yr-old woman	https://bacdive.dsmz.de/strain/154929
155280	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	microaerophile	NULL	#Host, #Host Body Product, #Infection, #Host	#Human, #Fluids, #Patient, #Human	Human blood,3-yr-old male	https://bacdive.dsmz.de/strain/155280
155432	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	microaerophile	NULL	#Host, #Infection, #Infection	#Human, #Medical environment, #Patient	Human hip prosthesis,70-yr-old woman	https://bacdive.dsmz.de/strain/155432
155940	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	anaerobe	NULL	#Host, #Host Body Product, #Infection	#Human, #Fluids, #Patient	Human blood,88-yr-old man	https://bacdive.dsmz.de/strain/155940
156779	Abiotrophia defectiva	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Abiotrophia	Free Living	False	microaerophile	NULL	#Host, #Host Body Product, #Infection, #Host	#Human, #Fluids, #Patient, #Human	Human blood,1-yr-old boy	https://bacdive.dsmz.de/strain/156779
164352	Absicoccus porci	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Absicoccus	Free Living	False	NULL	0.384			Pig feces	https://bacdive.dsmz.de/strain/164352
159837	Abyssibacter profundi	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Salinisphaeraceae	Abyssibacter	Free Living	False	aerobe	0.631	#Environmental	#Aquatic	the seawater at a depth of 1000 m in the Mariana Trench at station MT1	https://bacdive.dsmz.de/strain/159837
132558	Abyssicoccus albus	Bacteria	Firmicutes	Bacilli	Caryophanales	Staphylococcaceae	Abyssicoccus	Free Living	False	NULL	0.424	#Environmental, #Environmental	#Aquatic, #Aquatic	deep sea sediment	https://bacdive.dsmz.de/strain/132558
132478	Abyssivirga alkaniphila	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Abyssivirga	Free Living	False	obligate anaerobe	0.317	#Environmental, #Environmental	#Aquatic, #Biofilm	chimney of a deep-sea black smoker, approximately 2400 m depth	https://bacdive.dsmz.de/strain/132478
24718	Acanthopleuribacter pedis	Bacteria	Acidobacteria	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	Free Living	False	aerobe	0.567	#Host	#Invertebrates (Other)	chiton Acanthopleura japonica	https://bacdive.dsmz.de/strain/24718
7517	Acaricomes phytoseiuli	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Acaricomes	Free Living	False	aerobe	0.577	#Host	#Arthropoda	predatory mite Phytoseiulus persimilis	https://bacdive.dsmz.de/strain/7517
160325	Acerihabitans arboris	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Pectobacteriaceae	Acerihabitans	Free Living	False	NULL	NULL			Sap of plant	https://bacdive.dsmz.de/strain/160325
134101	Acetanaerobacterium elongatum	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetanaerobacterium	Free Living	False	anaerobe	0.504	#Engineered	#Waste	wastewater	https://bacdive.dsmz.de/strain/134101
132028	Acetanaerobacterium sp.	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetanaerobacterium	Free Living	False	NULL	NULL	#Host, #Host Body Product	#Human, #Gastrointestinal tract	faeces from healthy human	https://bacdive.dsmz.de/strain/132028
18089	Acetatifactor muris	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Acetatifactor	Free Living	False	anaerobe	0.485	#Host, #Host Body Product	#Mammals, #Gastrointestinal tract	cecal content of obese mouse	https://bacdive.dsmz.de/strain/18089
164491	Acetilactobacillus jinshanensis	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Acetilactobacillus	Free Living	False	facultative anaerobe	0.397			Solid-state vinegar culture of Zhenjiang aromatic vinegar	https://bacdive.dsmz.de/strain/164491
6338	Acetitomaculum ruminis	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Acetitomaculum	Free Living	False	anaerobe	0.34	#Host, #Host Body-Site	#Mammals, #Organ	rumen, bovine	https://bacdive.dsmz.de/strain/6338
2764	Acetivibrio aldrichii	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Free Living	False	anaerobe	0.4	#Engineered, #Host Body Product	#Biodegradation, #Plant	wood-fermenting anaerobic digestor	https://bacdive.dsmz.de/strain/2764
2838	Clostridium alkalicellulosi	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Free Living	False	anaerobe	0.3	#Engineered, #Environmental, #Condition	#Waste, #Aquatic, #Alkaline	deposits of soda lake	https://bacdive.dsmz.de/strain/2838
17674	Acetivibrio cellulolyticus	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Free Living	False	anaerobe	NULL	#Engineered	#Waste	sewage sludge	https://bacdive.dsmz.de/strain/17674
2853	Acetivibrio clariflavus	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Free Living	False	anaerobe	0.369	#Engineered, #Engineered, #Environmental, #Condition	#Biodegradation, #Bioreactor, #Terrestrial, #Anoxic (anaerobic)	methanogenic sludge of a cellulose-degrading bioreactor	https://bacdive.dsmz.de/strain/2853
17675	Acetivibrio ethanolgignens	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Free Living	False	anaerobe	0.4	#Infection, #Host, #Host Body-Site	#Disease, #Mammals, #Gastrointestinal tract	colon of pig with dysentery	https://bacdive.dsmz.de/strain/17675
157972	Acetivibrio mesophilus	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Free Living	False	anaerobe	0.3836	#Host, #Engineered, #Engineered, #Engineered	#Plants, #Industrial, #Bioreactor, #Laboratory	lab scale biogas plant fed with maize silage	https://bacdive.dsmz.de/strain/157972
132679	Acetivibrio saccincola	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Free Living	False	anaerobe	0.349	#Engineered, #Engineered, #Engineered, #Condition	#Bioreactor, #Industrial, #Laboratory, #Thermophilic (>45°C)	thermophilic (55 °C) lab scale biogas plant	https://bacdive.dsmz.de/strain/132679
164132	Acetivibrio saccincola	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Free Living	False	NULL	0.349			Cellulose-degrading bacterial community inhabiting bovine manure compost on Ishigaki Island	https://bacdive.dsmz.de/strain/164132
2827	Acetivibrio straminisolvens	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Free Living	False	anaerobe	0.413	#Engineered, #Environmental	#Biodegradation, #Microbial community	a bacterial community constructed from composting processes	https://bacdive.dsmz.de/strain/2827
2728	Acetivibrio thermocellus	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Free Living	False	anaerobe	0.395			NULL	https://bacdive.dsmz.de/strain/2728
2730	Acetivibrio thermocellus	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Free Living	False	anaerobe	NULL	#Engineered, #Engineered, #Host	#Laboratory, #Laboratory, #Microbial	isolated from contaminated culture of Clostridium thermocellum, strain LQ8 (R.Y. Quinn)	https://bacdive.dsmz.de/strain/2730
2731	Acetivibrio thermocellus	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Free Living	False	anaerobe	0.4	#Host, #Engineered, #Host Body Product	#Plants, #Industrial, #Plant	cotton	https://bacdive.dsmz.de/strain/2731
22965	Acetivibrio thermocellus	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Free Living	False	anaerobe	NULL	#Environmental, #Environmental, #Condition	#Aquatic, #Terrestrial, #Thermophilic (>45°C)	hot spring soil sample	https://bacdive.dsmz.de/strain/22965
22966	Acetivibrio thermocellus	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Free Living	False	anaerobe	NULL			NULL	https://bacdive.dsmz.de/strain/22966
131392	Acetoanaerobium pronyense	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Acetoanaerobium	Free Living	False	anaerobe	0.329	#Environmental, #Environmental, #Condition, #Condition	#Aquatic, #Aquatic, #Alkaline, #Thermophilic (>45°C)	carbonaceous chimney of an alkaline hydrothermal field, 16.5 m below sea level	https://bacdive.dsmz.de/strain/131392
2717	Acetoanaerobium sticklandii	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Acetoanaerobium	Free Living	False	anaerobe	0.333	#Environmental	#Terrestrial	black mud	https://bacdive.dsmz.de/strain/2717
2	Acetobacter aceti	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	aerobe	0.574	#Engineered, #Environmental	#Food production, #Microbial community	alcohol turned to vinegar	https://bacdive.dsmz.de/strain/2
136593	Acetobacter aceti	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	NULL			NULL	https://bacdive.dsmz.de/strain/136593
163091	Acetobacter aceti	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	NULL			Vinegar brews	https://bacdive.dsmz.de/strain/163091
163298	Acetobacter aceti	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.571			Beer	https://bacdive.dsmz.de/strain/163298
163300	Acetobacter aceti	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.564			Vinegar plant	https://bacdive.dsmz.de/strain/163300
12	Acetobacter cerevisiae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	obligate aerobe	NULL	#Engineered, #Engineered	#Food production, #Food production	beer (ale) in storage	https://bacdive.dsmz.de/strain/12
15	Acetobacter cibinongensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.545	#Host, #Host Body-Site	#Plants, #Plant	fruit of montain soursop, Annona montanae	https://bacdive.dsmz.de/strain/15
10	Acetobacter estunensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.593	#Engineered, #Engineered, #Engineered	#Food production, #Industrial, #Food production	cider making	https://bacdive.dsmz.de/strain/10
23	Acetobacter fabarum	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.576	#Engineered, #Host Body-Site	#Food production, #Plant	cocoa bean heap fermentation	https://bacdive.dsmz.de/strain/23
22	Acetobacter ghanensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.573	#Engineered, #Host Body-Site	#Food production, #Plant	traditional heap fermentation of Ghanaian cocoa beans	https://bacdive.dsmz.de/strain/22
18	Acetobacter indonesiensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.537	#Host, #Host Body-Site	#Plants, #Plant	rotten zirzak (fruit)	https://bacdive.dsmz.de/strain/18
23488	Acetobacter indonesiensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	NULL	#Engineered, #Engineered, #Condition	#Food production, #Food production, #Acidic	vinegar	https://bacdive.dsmz.de/strain/23488
23489	Acetobacter lambici	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.562	#Engineered, #Engineered	#Food production, #Food production	fermenting lambic beer	https://bacdive.dsmz.de/strain/23489
9	Acetobacter lovaniensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.586	#Environmental	#Terrestrial	soil	https://bacdive.dsmz.de/strain/9
13	Acetobacter malorum	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	obligate aerobe	0.572	#Host, #Host Body-Site, #Host Body-Site	#Plants, #Plant, #Plant	rotting apple	https://bacdive.dsmz.de/strain/13
132413	Acetobacter musti	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.58	#Host Body-Site, #Host, #Host Body Product	#Plant, #Plants, #Plant	Bobal grape must	https://bacdive.dsmz.de/strain/132413
20	Acetobacter nitrogenifigens	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	aerobe	0.641	#Engineered, #Engineered	#Food production, #Food production	Kombucha tea	https://bacdive.dsmz.de/strain/20
19	Acetobacter oeni	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	obligate aerobe	0.581	#Engineered, #Environmental, #Engineered	#Food production, #Microbial community, #Food production	spoiled red wine	https://bacdive.dsmz.de/strain/19
132838	Acetobacter oeni	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	NULL	#Engineered, #Engineered, #Host, #Host Body-Site	#Food production, #Food production, #Plants, #Plant	Wine	https://bacdive.dsmz.de/strain/132838
161632	Acetobacter okinawensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.593			Sugarcane (stem) (Saccharum offcinarum) in Okinawa,(2004)	https://bacdive.dsmz.de/strain/161632
163333	Acetobacter okinawensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.592			Sugarcane (stem) (Saccharum offcinarum) in Okinawa,(2004)	https://bacdive.dsmz.de/strain/163333
163334	Acetobacter okinawensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.593			Sugarcane (stem) (Saccharum offcinarum) in Okinawa,(2004)	https://bacdive.dsmz.de/strain/163334
163344	Acetobacter okinawensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.593			Grape (Vitis vinifera) in Tottori,(2007)	https://bacdive.dsmz.de/strain/163344
163346	Acetobacter okinawensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.593			Japanese plum (fruit) (Prunus salicina) in Tottori,(2007)	https://bacdive.dsmz.de/strain/163346
163348	Acetobacter okinawensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.593			Oriental melon (fruit) (Cucumis melo var. makuwa) in Okayama,(2007)	https://bacdive.dsmz.de/strain/163348
163349	Acetobacter okinawensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.594			Broad-leaf vetch (flower) (Vicia amoena in Okayama,(2007)	https://bacdive.dsmz.de/strain/163349
16	Acetobacter orientalis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.523	#Host, #Host Body-Site	#Plants, #Plant	canna flower, Canna hybrida	https://bacdive.dsmz.de/strain/16
8	Acetobacter orleanensis	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	aerobe	0.565	#Engineered, #Engineered, #Host, #Host Body-Site	#Food production, #Food production, #Plants, #Plant	beer	https://bacdive.dsmz.de/strain/8
164536	Acetobacter oryzoeni	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.531			Korean rice wine vinegar	https://bacdive.dsmz.de/strain/164536
163331	Acetobacter papayae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.605			Papaya (fruit) (Carica papaya) in Okinawa,(2004)	https://bacdive.dsmz.de/strain/163331
163332	Acetobacter papayae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.607			Papaya (fruit) (Carica papaya) in Okinawa,(2004)	https://bacdive.dsmz.de/strain/163332
4	Acetobacter pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	NULL	#Engineered, #Engineered, #Host, #Host Body-Site	#Food production, #Food production, #Plants, #Plant	beer	https://bacdive.dsmz.de/strain/4
24	Acetobacter pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.625			Ditch water	https://bacdive.dsmz.de/strain/24
23459	Acetobacter pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	NULL	#Condition, #Engineered, #Engineered	#Acidic, #Food production, #Food production	viegar	https://bacdive.dsmz.de/strain/23459
163093	Acetobacter pasteurianus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	NULL			Brewers' yeasts and beer	https://bacdive.dsmz.de/strain/163093
163337	Acetobacter persici	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Acetobacter	Free Living	False	NULL	0.587			Peach (fruit) (Prunus persica) in Tottori,(2007)	https://bacdive.dsmz.de/strain/163337
